id;codigo_estacion;estacion;tramo_horario;numero_de_prestamos;numero_de_devoluciones;fecha_creacion;fecha_baja
4;1;001_GUILLEN_DE_CASTRO;03H - 04H;46;31;20230530;NA
5;1;001_GUILLEN_DE_CASTRO;04H - 05H;19;21;20230530;NA
7;1;001_GUILLEN_DE_CASTRO;06H - 07H;148;368;20230530;NA
10;1;001_GUILLEN_DE_CASTRO;09H - 10H;751;681;20230530;NA
11;1;001_GUILLEN_DE_CASTRO;10H - 11H;729;719;20230530;NA
16;1;001_GUILLEN_DE_CASTRO;15H - 16H;892;1042;20230530;NA
18;1;001_GUILLEN_DE_CASTRO;17H - 18H;1049;1106;20230530;NA
22;1;001_GUILLEN_DE_CASTRO;21H - 22H;627;602;20230530;NA
24;1;001_GUILLEN_DE_CASTRO;23H - 24H;192;232;20230530;NA
25;2;002_CALLE_SALVADOR_GINER_CALLE_MUSEO;00H - 01H;296;195;20230530;NA
28;2;002_CALLE_SALVADOR_GINER_CALLE_MUSEO;03H - 04H;62;41;20230530;NA
36;2;002_CALLE_SALVADOR_GINER_CALLE_MUSEO;11H - 12H;645;505;20230530;NA
38;2;002_CALLE_SALVADOR_GINER_CALLE_MUSEO;13H - 14H;735;676;20230530;NA
39;2;002_CALLE_SALVADOR_GINER_CALLE_MUSEO;14H - 15H;950;755;20230530;NA
48;2;002_CALLE_SALVADOR_GINER_CALLE_MUSEO;23H - 24H;278;272;20230530;NA
49;3;003_PLAZA_MUSICO_LOPEZ_CHAVARRI;00H - 01H;798;427;20230530;NA
51;3;003_PLAZA_MUSICO_LOPEZ_CHAVARRI;02H - 03H;233;156;20230530;NA
56;3;003_PLAZA_MUSICO_LOPEZ_CHAVARRI;07H - 08H;850;411;20230530;NA
58;3;003_PLAZA_MUSICO_LOPEZ_CHAVARRI;09H - 10H;868;1421;20230530;NA
62;3;003_PLAZA_MUSICO_LOPEZ_CHAVARRI;13H - 14H;1312;1133;20230530;NA
63;3;003_PLAZA_MUSICO_LOPEZ_CHAVARRI;14H - 15H;1286;1157;20230530;NA
67;3;003_PLAZA_MUSICO_LOPEZ_CHAVARRI;18H - 19H;1094;1151;20230530;NA
